,0,1
112,0.56,-0.501944
113,0.565,-0.567064
114,0.57,-0.6321399999999999
115,0.575,-0.697167
116,0.58,-0.762141
117,0.585,-0.8270559999999999
118,0.59,-0.891906
119,0.595,-0.956686
120,0.6,-1.02139
121,0.605,-1.0860100000000001
122,0.61,-1.15055
123,0.615,-1.21499
124,0.62,-1.27934
125,0.625,-1.34358
126,0.63,-1.4077
127,0.635,-1.47171
128,0.64,-1.5356
129,0.645,-1.59935
130,0.65,-1.6629599999999998
131,0.655,-1.72642
132,0.66,-1.78974
133,0.665,-1.8528900000000001
134,0.67,-1.91586
135,0.675,-1.9786700000000002
136,0.68,-2.04128
137,0.685,-2.1037
138,0.69,-2.16591
139,0.695,-2.22791
140,0.7,-2.2896799999999997
141,0.705,-2.35122
142,0.71,-2.4125099999999997
143,0.715,-2.47355
144,0.72,-2.53432
145,0.725,-2.59481
146,0.73,-2.65501
147,0.735,-2.7149
148,0.74,-2.77447
149,0.745,-2.83372
150,0.75,-2.89261
151,0.755,-2.95115
152,0.76,-3.0093099999999997
153,0.765,-3.0670900000000003
154,0.77,-3.12445
155,0.775,-3.18139
156,0.78,-3.23789
157,0.785,-3.29394
158,0.79,-3.3495
159,0.795,-3.4045699999999997
160,0.8,-3.4591300000000005
161,0.805,-3.51315
162,0.81,-3.56661
163,0.815,-3.6195
164,0.82,-3.67179
165,0.825,-3.7234599999999998
166,0.83,-3.7744800000000005
167,0.835,-3.82484
168,0.84,-3.87451
169,0.845,-3.92346
170,0.85,-3.9716699999999996
171,0.855,-4.01912
172,0.86,-4.06578
173,0.865,-4.111619999999999
174,0.87,-4.15661
175,0.875,-4.200740000000001
176,0.88,-4.2439800000000005
177,0.885,-4.2862800000000005
178,0.89,-4.32764
179,0.895,-4.36802
180,0.9,-4.40739
181,0.905,-4.44573
182,0.91,-4.48301
183,0.915,-4.5192
184,0.92,-4.55427
185,0.925,-4.5882
186,0.93,-4.62096
187,0.935,-4.65252
188,0.94,-4.68286
189,0.945,-4.71195
190,0.95,-4.73977
191,0.955,-4.766290000000001
192,0.96,-4.7914900000000005
193,0.965,-4.81535
194,0.97,-4.83784
195,0.975,-4.8589400000000005
196,0.98,-4.87864
197,0.985,-4.89691
198,0.99,-4.91374
199,0.995,-4.92911
200,1.0,-4.94301
201,1.005,-4.95541
202,1.01,-4.96632
203,1.015,-4.975709999999999
204,1.02,-4.98358
205,1.025,-4.98992
206,1.03,-4.994730000000001
207,1.035,-4.99799
208,1.04,-4.999709999999999
209,1.045,-4.99988
210,1.05,-4.99851
211,1.055,-4.99559
212,1.06,-4.99113
213,1.065,-4.985130000000001
214,1.07,-4.9776
215,1.075,-4.96855
216,1.08,-4.95798
217,1.085,-4.94591
218,1.09,-4.93234
219,1.095,-4.9173
220,1.1,-4.9008
221,1.105,-4.88284
222,1.11,-4.86346
223,1.115,-4.84267
224,1.12,-4.82049
225,1.125,-4.79694
226,1.13,-4.77203
227,1.135,-4.7458
228,1.14,-4.7182699999999995
229,1.145,-4.6894599999999995
230,1.15,-4.6594
231,1.155,-4.6281099999999995
232,1.16,-4.59561
233,1.165,-4.56194
234,1.17,-4.52712
235,1.175,-4.49118
236,1.18,-4.45414
237,1.185,-4.41604
238,1.19,-4.37689
239,1.195,-4.33674
240,1.2,-4.2956
241,1.205,-4.2535
242,1.21,-4.21047
243,1.215,-4.16654
244,1.22,-4.12173
245,1.225,-4.07608
246,1.23,-4.0296
247,1.235,-3.98233
248,1.24,-3.93428
249,1.245,-3.8854900000000003
250,1.25,-3.83598
251,1.255,-3.7857800000000004
252,1.26,-3.7349
253,1.265,-3.6833699999999996
254,1.27,-3.63122
255,1.275,-3.5784599999999998
256,1.28,-3.5251300000000003
257,1.285,-3.4712300000000003
258,1.29,-3.41679
259,1.295,-3.36184
260,1.3,-3.3063800000000003
261,1.305,-3.25044
262,1.31,-3.19404
263,1.315,-3.1372
264,1.32,-3.07992
265,1.325,-3.02224
266,1.33,-2.9641599999999997
